"frame","x [nm]","y [nm]","intensity [photon]"
2059,34971.24225,19018.72579,16991.23501
2059,37832.82647,5907.66691,22063.65087
2059,42306.49084,11797.14465,25971.54039
2059,43250.84384,2828.72771,5743.97785
2059,55805.36141,7240.68688,31913.28544
2059,57623.92302,14912.73621,51299.1853
2060,1381.50997,14077.68162,39095.71725
2060,10171.03241,17169.21202,9710.01195
2060,19400.55422,12494.885,18515.69516
2060,21247.19889,6000.25688,223408.29586
2060,23678.37237,7685.13018,6841.37112
2060,25953.31152,6750.73109,4136.61918
2060,26851.71317,8386.72254,63122.44819
2060,28726.22557,20321.10824,135296.97234
2060,31360.04886,16993.20205,55984.29873
2060,34514.23906,18957.18641,21681.40934
2060,37819.06285,5974.31141,18452.5663
2060,42638.55463,11901.29929,8399.13487
2060,43096.27894,14812.54839,2200.13685
2060,56234.12515,11088.95932,8709.97996
2060,57260.2155,15148.01815,56841.60088
2061,1474.83355,13962.09307,57523.41981
2061,3438.82799,6681.16985,4301.98554
2061,10307.50606,17278.29515,41018.05522
2061,11726.36926,8401.15798,216154.06314
2061,17001.92097,21771.54995,28045.46568
2061,19337.46646,12060.7953,33027.32101
2061,21162.57785,5663.08963,37658.18793
2061,23218.1028,7179.81274,32119.53213
2061,25973.99127,8424.26625,50374.97623
2061,32028.94466,16404.39515,30971.93018
2061,34765.7734,18798.16393,188906.96596
2061,37862.30494,5897.64634,33555.17392
2061,43853.70736,14549.21977,23166.55538
2061,51380.55296,4652.57794,27291.3358
2061,56376.98662,8033.16264,301230.55597
2061,57231.24325,15210.55546,170026.01119
2061,60653.11199,2184.84522,210807.04263
2062,1540.19639,21793.02734,16699.41539
2062,2144.03808,13853.48481,292795.18969
2062,3879.34338,3811.07101,42878.82193
2062,10903.4367,16420.57627,42802.51328
2062,11375.05494,8383.56228,26245.76079
2062,16374.2763,22203.5808,14929.60407
2062,19335.75754,12409.39939,27614.63699
2062,21120.95461,5979.62124,13668.63941
2062,22784.9682,6946.50148,48742.84299
2062,23529.15522,17807.06152,7476.43931
2062,25404.49819,8245.33683,83487.96299
2062,27198.96039,8259.54337,21949.00076
2062,32717.68892,16347.8155,72707.45737
2062,37903.53111,6306.12467,223800.11535
2062,44151.23579,14610.27322,25454.08862
2062,51667.23332,4989.0432,20428.15701
2062,56039.64814,8449.1443,43962.29864
2062,57910.44887,15752.01988,64944.92579
2062,58881.2253,6886.75094,9105.1558
2063,3001.91401,3541.78143,22053.33268
2063,3116.89414,13284.94992,257039.27994
2063,4510.29441,16420.01457,17047.4374
2063,4837.25704,6854.77513,23803.62639
2063,6862.35505,3802.44972,9099.84825
2063,10706.05544,16333.26196,4608.44884
2063,10862.24296,7605.1594,33699.0748
2063,18804.25778,12631.25851,95003.70679
2063,21862.095,5650.38813,28080.83375
2063,23229.80468,6200.8458,239223.624
2063,23392.73992,21536.99267,8113.95136
2063,23512.89436,18303.4125,32640.22827
